iter	RMSE
0	76584.65319
1	74493.558
2	72398.39457
3	70352.29508
4	68350.55641
5	66458.00006
6	64742.70946
7	63115.92406
8	61555.7732
9	60084.63794
10	58596.79257
11	57247.28895
12	55930.74645
13	54646.55897
14	53423.98496
15	52270.99183
16	51172.50177
17	49946.43901
18	48893.2406
19	47778.66278
20	46856.60022
21	45913.44789
22	44920.50114
23	43996.02089
24	43124.21679
25	42350.84719
26	41580.91875
27	40768.35409
28	40053.29831
29	39342.83204
30	38626.2698
31	37973.83051
32	37358.22663
33	36771.10392
34	36209.53428
35	35680.43439
36	35115.67245
37	34608.47156
38	34164.72239
39	33750.41968
40	33287.40769
41	32839.9299
42	32450.30528
43	32061.08536
44	31635.08105
45	31265.07765
46	30915.90347
47	30545.73917
48	30124.93103
49	29825.42648
50	29521.24625
51	29204.8495
52	28902.78011
53	28638.42727
54	28344.62566
55	28043.00516
56	27791.26748
57	27503.57578
58	27269.4121
59	27035.32496
60	26787.5549
61	26545.27647
62	26303.6469
63	26135.13115
64	25941.84549
65	25729.65619
66	25540.8871
67	25376.07306
68	25209.26576
69	25026.59711
70	24843.29856
71	24706.43079
72	24556.71193
73	24397.21248
74	24209.25466
75	24089.22663
76	23915.81618
77	23769.05128
78	23609.95258
79	23483.90229
80	23346.02449
81	23202.74289
82	23062.64144
83	22962.31506
84	22881.48531
85	22773.13063
86	22639.39611
87	22616.97882
88	22510.06174
89	22389.50695
90	22278.09843
91	22212.26195
92	22176.94746
93	22048.43163
94	21960.95205
95	21850.04339
96	21733.62413
97	21652.81241
98	21606.0871
99	21517.27026
100	21441.33841
101	21325.94084
102	21228.30058
103	21123.459
104	21057.40124
105	20989.51132
106	20892.97163
107	20782.85309
108	20696.54383
109	20602.80358
110	20532.9271
111	20452.57245
112	20362.28702
113	20274.17331
114	20206.84775
115	20136.66541
116	20059.0728
117	19984.08994
118	19881.94303
119	19830.06897
120	19773.21675
121	19703.721
122	19649.13509
123	19579.3983
124	19510.79434
125	19455.81226
126	19397.82201
127	19334.87875
128	19267.626
129	19196.01185
130	19098.04698
131	19010.71014
132	18925.4635
133	18864.11335
134	18813.07955
135	18754.9672
136	18682.51075
137	18640.98696
138	18578.88269
139	18532.01912
140	18489.60838
141	18435.9277
142	18410.00456
143	18364.1401
144	18330.72907
145	18315.34737
146	18293.10601
147	18260.07228
148	18211.77985
149	18170.56108
150	18101.02864
151	18059.8335
152	18008.566
153	17948.34456
154	17912.53721
155	17893.60653
156	17825.68688
157	17798.89397
158	17779.59383
159	17731.38105
160	17683.57721
161	17659.64141
162	17628.36577
163	17590.06267
164	17559.0157
165	17528.96409
166	17490.64578
167	17458.43267
168	17433.31188
169	17402.75871
170	17346.071
171	17302.08598
172	17275.5069
173	17232.74266
174	17184.1567
175	17144.71187
176	17097.21339
177	17066.25921
178	17024.26878
179	17003.89353
180	16984.47708
181	16949.33078
182	16929.42804
